SEQ_ID,Castration-resistent_Met,Castration-resistent_nonMet,Met,Newly_diagnosed,Normal_male_controls,PSA-recurrent_nonMet
212_ZRANB2_9406,19,5,9,8,4,20
213_HMGN2P46_283651,1,1,0,2,2,7
214_UQCRB_7381,4,2,0,4,4,10
215_ATP6V1G1_9550,3,0,1,1,0,7
216_WDR6_11180,24,7,6,9,2,21
217_CD63_967,4,1,2,0,0,5
218_CHKA_1119,7,1,3,3,3,12
219_RPL36AL_6166,2,2,0,1,1,2
22_EXOC3L2_90332,2,1,1,3,3,5
220_KHSRP_8570,33,12,15,16,17,44
221_BACE2_25825,9,1,6,3,3,10
222_ACSS1_84532,8,1,5,1,2,11
224_RPL23A_6147,1,2,0,4,1,7
225_COX5B_1329,0,1,0,2,1,1
226_RPS19_6223,4,2,3,2,0,8
2261_KLK2_3817,6,1,1,1,6,11
227_C20orf3_57136,9,1,3,1,3,5
228_PSME2_5721,6,0,3,1,3,5
229_SOD1_6647,12,2,2,3,3,9
23_ND2_4536,9,2,4,2,0,8
230_RPS26_6231,2,1,2,0,1,2
231_B4GALT1_2683,6,0,0,1,1,8
232_ACPP_55,10,1,3,2,0,2
233_COX7A2_1347,2,0,1,0,0,2
234_ARPC3_10094,11,3,2,6,4,4
235_ATP2C1_27032,16,1,6,6,5,15
238_CASC3_22794,24,7,11,14,11,30
239_DDR1_780,12,3,9,10,4,22
24_ATP5G2_517,8,3,1,6,1,5
240_USP11_8237,15,6,4,10,5,20
241_RAB3D_9545,4,1,3,2,5,6
242_HMGB2_3148,8,5,2,3,4,12
243_NFKBIA_4792,4,0,1,3,1,6
244_RPL7_6129,5,5,1,6,0,8
245_HNRNPC_3183,11,6,6,8,4,12
246_NDUFB4_4710,3,0,1,2,1,8
247_UBA52_7311,3,2,2,1,0,3
248_OR51E2_81285,1,0,0,0,1,3
249_CCDC72_51372,2,1,1,1,1,1
25_PEBP1_5037,6,2,0,1,4,9
250_KPNB1_3837,21,8,7,12,10,22
251_COX2_4513,22,7,7,9,7,25
252_NDUFC1_4717,1,0,0,2,2,0
254_HILPDA_29923,0,0,1,0,0,1
255_RANBP2_5903,33,11,16,16,16,43
256_PARK7_11315,5,1,1,4,1,8
257_HIST3H3_8290,0,1,0,0,3,0
258_C6orf62_81688,4,3,4,6,3,7
259_ANAPC11_51529,0,0,0,1,0,0
26_RPL31_6160,3,4,0,1,2,4
260_EMP2_2013,3,1,1,0,2,3
261_APLP2_334,29,12,10,15,8,32
262_HSPD1_3329,20,5,11,11,10,27
263_RPL27_6155,0,1,1,2,2,2
264_SEC11A_23478,2,0,4,3,4,3
266_UTRN_7402,31,14,15,18,15,42
267_ACTB_60,6,2,1,3,0,4
268_ADM_133,6,2,2,5,2,9
269_ATP5H_10476,9,5,5,5,7,13
27_NBPF15_284565,11,5,6,4,4,18
270_COX3_4514,2,0,0,0,0,1
271_RPS4X_6191,21,8,9,5,7,20
272_HBB_3043,1,0,0,2,1,4
273_MAGED1_9500,28,7,10,14,10,39
274_SNRPD3_6634,3,3,1,2,2,8
275_RPL37A_6168,2,0,0,0,0,4
276_TMBIM6_7009,1,0,0,1,1,2
277_SNHG8_100093630,1,0,1,0,0,1
278_SSR2_6746,0,0,0,0,1,2
279_CTDSP2_10106,8,1,1,2,1,4
28_EEF1D_1936,16,3,5,9,5,16
280_C11orf31_280636,2,0,1,4,1,3
281_RPL29_6159,4,3,1,1,1,3
282_SERP1_27230,1,0,0,1,1,1
283_MZT2B_80097,1,0,0,0,0,4
284_DSP_1832,34,13,14,15,12,44
285_NPRL3_8131,7,5,4,4,1,5
286_NFIC_4782,25,11,7,8,9,29
287_USMG5_84833,0,0,0,0,0,0
288_PUM1_9698,24,10,15,15,13,40
289_NDUFA8_4702,6,2,2,5,4,8
29_HSP90B1_7184,25,5,8,10,6,20
290_BRD2_6046,17,4,6,8,8,15
291_CTBP2_1488,7,0,1,3,2,8
292_CSNK1D_1453,11,6,5,5,5,12
293_RPL7A_6130,5,1,0,3,1,5
295_ULK1_8408,18,7,8,9,7,16
296_NDUFS5_4725,6,3,3,1,2,7
297_UQCRH_7388,0,0,0,0,0,2
298_RPL24_6152,2,1,0,1,2,5
299_NDUFC2_4718,1,0,0,0,0,0
3_ND3_4537,5,0,0,2,0,6
30_LOC100132247_100132247,8,4,3,4,4,15
300_GNL3_26354,16,7,5,7,7,16
301_ANKRD37_353322,4,0,4,0,2,6
302_SRSF3_6428,9,1,1,4,6,8
303_RPL13AP3_645683,1,1,0,0,0,3
304_ZNF706_51123,1,1,0,1,1,1
305_NFE2L1_4779,22,5,9,10,8,30
306_LBR_3930,6,1,0,3,3,5
308_MIF_4282,4,1,2,2,0,3
309_TMC8_147138,8,1,2,2,2,4
31_MAT2A_4144,9,4,3,5,7,18
310_AKAP1_8165,12,4,5,3,6,18
311_EFNA1_1942,5,0,1,1,0,4
312_GABARAPL2_11345,2,0,2,1,0,1
313_ATP6AP1_537,14,5,7,7,7,8
314_TUG1_55000,1,0,0,0,0,2
315_SOX4_6659,29,10,14,13,13,42
316_HIST1H1C_3006,6,1,2,1,3,6
317_RPL13A_23521,4,1,0,1,1,4
318_MINOS1_440574,1,0,0,1,0,1
319_TUBB4B_10383,12,2,2,8,5,14
32_CDH1_999,16,4,8,8,8,17
320_MLEC_9761,13,2,1,2,5,12
321_SSB_6741,16,6,7,7,6,20
322_ARF4_378,4,1,1,2,3,5
323_TMEM50A_23585,0,0,0,3,2,4
324_CELF1_10658,13,2,6,10,7,23
325_RPS14_6208,1,1,2,1,0,4
326_FPGS_2356,12,1,2,4,2,10
327_AP3D1_8943,20,6,9,7,10,23
328_C14orf2_9556,0,1,1,1,0,0
329_FOLH1_2346,22,8,7,13,9,25
33_ANKK1_255239,12,2,5,3,3,10
330_FKBP2_2286,1,0,2,1,3,3
331_HIST1H2AD_3013,5,1,2,0,0,2
332_RPL8_6132,5,6,5,4,6,14
333_HNRNPA3_220988,32,10,13,16,14,43
334_RALBP1_10928,7,3,4,9,5,17
335_BNIP3_664,10,0,4,3,3,10
336_STEAP1_26872,7,2,2,4,4,3
337_ATP1B3_483,5,1,1,0,3,8
338_DUT_1854,11,2,2,3,5,2
339_SEPW1_6415,1,1,1,2,0,3
34_PTPRF_5792,23,9,9,10,12,27
340_H2AFJ_55766,4,1,2,0,0,3
341_KRTCAP2_200185,0,1,0,0,0,0
342_HNRNPH1_3187,10,3,2,8,5,11
343_TARDBP_23435,17,3,5,9,6,18
344_SEPT9_10801,19,9,7,9,10,21
345_CCDC56_28958,4,0,0,0,0,1
346_WASH2P_375260,13,5,9,6,6,20
347_TDG_6996,12,2,3,2,9,13
348_RPS16_6217,4,2,0,2,1,7
349_PARP1_142,30,9,14,13,10,32
35_MYO1C_4641,23,7,9,11,8,19
350_RPL28_6158,1,0,0,0,0,1
351_CCT4_10575,13,3,7,5,4,21
352_HP1BP3_50809,17,4,4,5,7,17
353_GPI_2821,8,4,3,2,6,14
354_SLC12A7_10723,14,5,7,10,13,24
355_CYB5R3_1727,12,2,8,7,7,15
356_DNAJA4_55466,7,2,6,6,4,14
357_SKP1_6500,5,1,0,4,3,8
358_PPP3CA_5530,13,3,4,7,6,18
359_UHMK1_127933,9,3,6,7,4,17
36_SEC61B_10952,4,0,1,1,0,0
360_SREBF1_6720,24,3,9,10,12,35
361_EIF1_10209,7,3,1,5,2,8
362_CYP1B1_1545,15,3,8,9,5,16
363_EEF1B2_1933,7,1,7,3,4,8
364_TCF25_22980,16,9,5,7,7,20
365_SNRNP70_6625,8,5,3,4,4,12
366_TMEFF2_23671,16,1,3,4,7,8
367_TUBA1B_10376,7,2,2,5,1,10
368_PSMB4_5692,11,1,4,1,5,12
369_KIAA1244_57221,27,6,8,7,11,27
37_RPL34_6164,0,2,0,0,0,1
370_NACA2_342538,8,3,4,2,4,12
371_CAPZA1_829,12,5,7,8,5,15
372_LSM3_27258,5,1,0,2,0,3
373_MTCH1_23787,32,11,10,18,13,41
374_BRP44_25874,0,0,0,0,1,1
375_GPX1_2876,2,0,1,3,0,1
376_MSMB_4477,2,0,0,2,2,4
377_PDE4C_5143,18,4,4,7,7,13
378_SNRPF_6636,5,1,0,0,0,2
379_ELP2_55250,9,1,4,8,4,10
38_PDLIM5_10611,16,4,2,7,7,22
380_HLA-G_3135,7,1,6,5,1,5
381_PRRC2B_84726,7,1,3,1,6,4
382_UQCR10_29796,0,0,1,0,1,2
383_TBC1D8_11138,24,7,6,8,8,24
385_EIF3D_8664,10,3,10,3,1,20
386_LRRC8A_56262,11,4,4,10,6,13
387_RPS3A_6189,14,11,8,6,7,10
388_SND1_27044,16,6,8,15,10,25
389_RPL6_6128,6,2,2,3,6,10
39_SLC35E4_339665,2,1,1,2,2,5
390_IGFBP2_3485,7,2,3,7,5,15
391_NDUFB2_4708,1,1,0,0,1,2
392_SPARC_6678,4,0,1,1,1,3
393_COX7C_1350,0,0,0,0,0,1
394_NDUFA4_4697,4,1,0,3,1,3
395_CRNDE_643911,0,0,1,2,1,2
396_PFDN5_5204,12,4,2,7,2,15
397_STMN1_3925,4,0,4,2,2,8
398_PDXDC1_23042,12,7,6,8,3,20
399_UQCR11_10975,2,1,2,1,0,2
4_MALAT1_378938,2,1,1,1,1,1
40_TMPRSS2_7113,13,4,3,7,7,15
400_CKB_1152,9,5,2,2,1,14
401_RPN1_6184,14,5,8,6,8,20
402_C12orf62_84987,1,1,0,1,0,2
403_CUTA_51596,1,0,1,1,2,1
404_ELL2_22936,25,6,12,11,9,27
405_BCAM_4059,10,4,2,8,7,17
407_EDEM3_80267,28,9,9,12,13,23
408_HNRNPK_3190,19,8,5,11,9,19
409_TPM1_7168,10,4,6,3,6,19
41_NKX3-1_4824,4,0,2,2,1,10
410_C6orf115_58527,3,1,1,0,2,2
411_PPDPF_79144,2,1,1,1,1,0
412_RPS4Y1_6192,12,6,5,3,6,16
414_DSTN_11034,6,3,2,1,2,9
415_EPAS1_2034,24,11,9,12,9,32
416_CCDC47_57003,15,4,6,9,8,20
417_PNISR_25957,19,6,7,9,10,20
418_ALDH2_217,18,4,7,8,5,20
419_HK2_3099,20,3,8,5,7,21
42_RPL35_11224,1,2,0,1,1,4
420_NDUFB1_4707,3,2,2,1,2,2
421_DNAJB2_3300,9,4,3,10,5,16
422_EIF3C_8663,17,7,11,10,6,24
423_KRT18_3875,15,5,5,5,3,18
424_SHISA5_51246,5,0,2,3,3,10
427_SURF4_6836,5,0,4,1,2,6
428_SPCS2_9789,14,6,4,7,8,23
429_CYB561_1534,1,0,0,1,2,1
43_PXN_5829,20,5,7,10,6,19
430_NPC2_10577,2,1,3,1,1,4
431_ACTG1_71,6,2,1,3,0,4
432_ATP5G3_518,4,1,2,6,2,13
433_CANX_821,19,3,7,13,6,18
434_HNRNPA1_3178,26,6,8,14,11,32
435_ZNF24_7572,7,2,2,5,2,7
436_PRAC_84366,3,0,0,0,0,0
437_PRR13_54458,6,2,1,5,4,7
438_AHCY_191,12,2,5,5,7,12
439_TAX1BP1_8887,24,6,11,10,9,28
44_RPLP1_6176,4,0,4,0,1,4
440_NOP58_51602,8,3,3,2,6,13
441_NSUN5P2_260294,5,2,1,2,2,5
442_PNRC1_10957,10,3,5,5,4,19
443_BMPR1B_658,8,3,3,1,3,9
444_CBS_875,5,1,4,3,3,11
445_MARCKS_4082,10,4,4,4,7,16
446_RPL26_6154,2,2,0,2,2,2
447_SEC61G_23480,0,0,0,0,0,2
448_GOLGA4_2803,31,10,14,16,15,39
449_GALNT11_63917,15,5,4,8,9,17
45_MKNK2_2872,11,5,2,4,6,11
450_MRPS18B_28973,3,0,2,2,4,9
451_SLIRP_81892,1,0,0,1,0,4
452_CHSY1_22856,18,3,8,6,7,14
453_NCL_4691,19,9,7,9,10,24
454_CALM2_805,9,4,6,8,5,15
455_DYNLL1_8655,3,0,0,0,2,4
456_PDCD6_10016,2,1,0,2,0,4
457_NEK9_91754,26,10,13,13,13,34
458_RBM8A_9939,1,0,1,1,3,3
459_CLTC_1213,23,7,7,7,13,26
46_ERGIC1_57222,3,3,4,4,5,11
460_NOTCH2_4853,24,8,11,14,8,26
461_C7orf28B_221960,24,6,4,10,9,22
462_EIF3E_3646,8,4,3,3,9,16
463_ATPIF1_93974,2,0,1,1,3,4
464_MAVS_57506,14,4,6,4,2,17
465_DHCR24_1718,8,2,2,3,1,3
466_ARPC2_10109,10,2,4,2,3,9
467_PCBP1_5093,4,2,6,3,4,8
468_DGCR2_9993,12,2,4,4,7,11
469_ASRGL1_80150,14,3,3,3,6,11
47_ARL6IP1_23204,7,1,0,2,2,3
470_SCCPDH_51097,10,2,3,4,4,8
471_NDUFB8_4714,3,3,1,2,3,9
473_RPL5_6125,13,2,5,5,0,8
474_RPL18A_6142,0,0,1,0,0,1
475_PDHA1_5160,8,5,2,5,6,14
476_EIF3H_8667,11,7,5,8,6,20
477_SRSF5_6430,10,3,3,7,5,12
478_VDAC1_7416,11,1,4,4,5,13
48_RPS6_6194,4,2,3,4,0,8
481_ATP5O_539,4,2,0,2,2,5
482_SSR4_6748,3,1,3,2,1,2
483_EML4_27436,19,6,6,8,5,19
484_CYB5A_1528,4,2,1,1,0,1
485_TSPAN1_10103,8,1,1,3,2,8
486_SRPR_6734,21,5,2,5,5,14
487_CTSF_8722,9,4,5,3,3,10
488_MYL12B_103910,9,3,4,4,3,14
489_MTMR4_9110,16,3,4,7,10,26
49_U2AF1_7307,16,7,12,11,11,27
490_ABCC5_10057,5,2,2,3,2,3
491_KDELR2_11014,0,1,0,0,0,1
492_DAP3_7818,13,3,5,3,4,11
493_HOXB13_10481,10,3,5,6,7,16
494_MT2A_4502,0,0,0,0,0,0
495_EIF4H_7458,7,1,6,5,3,9
496_CNPY2_10330,2,1,1,3,3,6
497_STARD3NL_83930,2,0,0,0,0,2
498_PIGY_84992,3,2,0,3,2,3
499_TCEAL4_79921,11,4,2,7,8,13
5_GGT6_124975,6,1,0,4,5,4
50_HERPUD1_9709,7,2,4,7,6,9
500_F11R_50848,8,3,2,1,2,8
501_POLR2H_5437,17,6,7,7,6,20
502_NBPF10_100132406,11,5,6,4,4,18
503_KIF5C_3800,21,10,13,10,8,34
504_IER2_9592,2,0,1,2,0,8
506_SPOCK1_6695,20,2,9,9,9,18
507_H1F0_3005,6,3,1,1,1,1
509_PILRB_29990,4,0,1,0,1,0
51_SLC45A3_85414,13,3,4,7,8,18
510_CDC42_998,5,0,0,4,2,7
511_SLC25A5_292,1,0,1,0,4,7
512_HIST1H2BK_85236,2,2,1,0,1,5
513_ZMIZ1_57178,27,9,9,14,11,31
514_NR2F2_7026,8,0,0,3,6,13
515_ACO2_50,25,7,7,8,7,21
516_TACSTD2_4070,7,3,3,1,4,8
517_NME3_4832,2,0,0,0,1,3
519_NBPF11_200030,16,2,5,6,7,23
52_RPS20_6224,2,2,1,1,0,1
520_PTGES3_10728,4,1,5,3,2,6
521_YTHDF2_51441,23,8,8,11,8,28
522_COX6A1_1337,1,0,0,1,1,1
523_TRMT5_57570,11,2,5,5,8,17
524_ACAA1_30,10,2,4,6,3,14
525_TAF7_6879,8,3,4,3,2,8
526_PDIA3_2923,13,4,5,6,7,21
527_PALM2-AKAP2_445815,25,7,7,12,9,29
528_CD81_975,5,0,0,3,0,2
529_BTBD6_90135,5,2,1,1,3,2
53_PABPC1_26986,23,6,8,5,9,26
530_NUDT4_11163,2,2,2,5,3,9
531_SMARCA4_6597,26,11,14,9,11,38
532_ACTN1_87,4,1,0,1,0,9
533_TMEM59_9528,4,0,4,3,6,7
534_MRPS24_64951,2,0,1,1,2,2
535_MKRN1_23608,29,12,12,12,13,34
536_MANF_7873,6,4,2,4,2,7
537_DGKD_8527,18,7,10,10,7,21
538_THRAP3_9967,25,9,12,11,16,30
539_MAML1_9794,31,7,12,13,12,29
54_P4HB_5034,15,5,6,10,9,24
540_CSTB_1476,4,1,0,4,2,8
541_LAGE3_8270,6,1,0,1,0,4
542_TM2D3_80213,4,0,1,1,1,2
543_RHOU_58480,2,1,3,4,3,10
544_MGST3_4259,0,0,1,1,0,0
545_MGEA5_10724,12,5,6,7,7,23
546_REXO2_25996,7,1,2,2,3,12
547_MTA1_9112,29,9,14,10,10,39
548_SCYL1_57410,16,9,4,8,6,15
549_REPIN1_29803,9,2,2,2,3,7
55_LAMP1_3916,11,3,2,8,3,12
550_TCEB1_6921,3,0,1,2,2,2
551_GNG10_2790,9,1,3,5,4,5
552_ADAR_103,20,7,11,8,11,26
553_METTL7A_25840,2,1,2,3,2,6
554_C17orf89_284184,1,0,1,1,3,0
555_RAD21_5885,14,3,6,5,7,14
556_POGZ_23126,24,11,6,11,16,32
557_CTDSP1_58190,15,3,6,5,3,13
558_SLC25A36_55186,4,0,1,1,1,5
559_BSDC1_55108,17,5,7,8,6,21
56_ALPK1_80216,23,5,12,12,15,28
561_DYNC1LI2_1783,11,4,4,6,4,14
562_COX17_10063,6,1,5,1,1,2
563_YWHAQ_10971,5,3,2,2,2,3
564_HIST2H2AC_8338,4,1,2,0,0,4
565_LRIG1_26018,16,4,5,7,7,18
566_MEAF6_64769,7,4,3,2,2,14
567_YWHAB_7529,9,3,4,6,8,12
568_CCNI_10983,11,3,2,3,5,11
569_NAP1L1_4673,12,2,4,8,5,16
57_FUT6_2528,8,5,3,6,2,9
570_RPLP0_6175,9,0,3,3,2,6
571_CMTM4_146223,10,0,0,3,0,4
572_DDIT4_54541,1,1,4,1,0,6
573_RBBP7_5931,10,4,4,6,6,10
574_SLC19A2_10560,4,0,3,2,2,7
575_NDUFA5_4698,6,1,5,2,4,5
576_H3F3B_3021,1,1,0,1,1,1
577_TMEM141_85014,3,1,0,0,1,2
578_WSB1_26118,14,5,6,7,5,13
579_FTH1_2495,8,3,5,3,3,15
58_RPL12_6136,6,2,0,1,2,4
580_HMGB1_3146,10,5,2,4,3,10
581_PDCD6IP_10015,27,6,8,11,12,29
582_BRK1_55845,2,1,2,1,1,2
583_RPL9_6133,1,1,1,0,1,6
584_TUBA1C_84790,8,3,3,5,1,11
585_RPS24_6229,2,2,2,1,2,8
586_PPP2CB_5516,5,4,2,1,4,11
587_BTF3_689,6,4,3,6,2,12
588_TPT1_7178,5,1,1,2,3,5
589_FDPS_2224,13,2,6,7,3,15
59_MLPH_79083,19,5,4,7,5,25
590_PSMA1_5682,7,3,3,3,3,11
591_ECHDC2_55268,5,1,3,4,3,7
592_NET1_10276,14,5,4,8,9,15
593_NUDT9_53343,12,3,5,6,3,14
594_HSBP1_3281,4,1,1,0,1,4
595_TMEM106C_79022,4,0,2,0,0,6
596_RPS23_6228,4,0,0,1,3,7
597_COMMD6_170622,0,1,0,0,0,1
598_GALNT7_51809,9,1,6,5,8,13
599_COX7A2L_9167,12,4,4,8,4,13
6_EPCAM_4072,6,3,1,6,5,10
60_RPL36A_6173,1,2,1,1,1,2
600_PYCR2_29920,5,1,1,0,1,6
601_DAD1_1603,3,0,1,1,1,2
602_REEP3_221035,5,2,3,4,2,9
603_PDCD7_10081,5,1,3,2,2,6
604_RPL10L_140801,3,0,1,2,2,3
605_YTHDF1_54915,22,6,11,14,11,26
606_UBL5_59286,2,0,1,1,0,4
607_C20orf30_29058,2,0,1,1,3,5
608_CCDC6_8030,26,9,11,10,14,38
609_HNRNPD_3184,21,7,9,12,8,27
61_KLC3_147700,20,6,7,10,10,28
610_USP9X_8239,32,10,14,16,16,41
611_KIAA1429_25962,23,11,13,8,10,32
612_ARHGAP1_392,10,4,6,4,4,19
613_FNBP4_23360,20,5,8,12,6,25
614_SNX3_8724,14,2,8,6,4,19
615_C14orf166_51637,18,6,8,6,7,17
616_GRP_2922,2,3,0,3,2,4
617_RDH11_51109,4,1,1,0,0,4
618_FKBP5_2289,14,3,6,7,5,16
619_NSUN2_54888,21,3,6,8,7,19
62_RPL39_6170,2,0,0,0,0,1
620_AGSK1_80154,2,3,1,3,1,2
621_CHP_11261,7,1,2,2,4,8
622_SNRPD1_6632,0,0,0,0,0,1
623_CKS2_1164,2,0,2,0,0,1
624_PHB2_11331,8,1,1,4,1,6
625_CNIH4_29097,0,0,0,2,0,2
626_GOLGA3_2802,29,8,11,14,10,34
627_TPI1_7167,11,0,3,4,4,12
628_NFIB_4781,22,6,11,5,13,27
629_RBM5_10181,18,5,11,8,10,21
630_AHCYL1_10768,5,1,3,9,5,15
631_HEXIM1_10614,13,5,2,4,6,18
632_NOS1_4842,22,8,9,10,9,23
633_USP54_159195,21,8,11,15,9,32
634_MRPL41_64975,9,1,1,1,1,5
635_GUCY1A3_2982,18,5,5,8,6,22
636_PRDX4_10549,5,4,2,1,0,4
637_MAGT1_84061,3,2,0,3,1,3
638_RYBP_23429,16,4,5,5,3,9
639_HECTD1_25831,29,13,10,15,12,38
64_COX6C_1345,0,0,0,1,0,1
640_VPS35_55737,14,4,4,3,4,12
641_TMSB4X_7114,0,0,0,1,2,0
642_ERH_2079,3,0,0,2,1,5
644_WASF2_10163,11,5,10,5,6,18
645_PGRMC2_10424,18,7,6,13,5,22
646_FASTK_10922,14,0,2,4,6,15
647_GOLGB1_2804,34,13,15,18,17,40
649_TCP1_6950,9,2,6,3,4,9
65_ZKSCAN1_7586,12,3,6,2,4,16
650_SQLE_6713,9,1,1,3,5,7
651_TSEN34_79042,6,2,0,3,3,10
652_HN1_51155,6,0,0,3,1,10
653_NUFIP2_57532,24,8,10,10,8,23
654_RPS3_6188,4,2,1,2,0,1
655_CCT2_10576,14,4,5,5,3,16
656_ANK3_288,34,13,16,17,17,42
657_LRPAP1_4043,12,4,1,5,5,14
658_CASC4_113201,15,1,5,7,5,17
659_DYNLT1_6993,7,2,3,2,3,6
66_FOXA1_3169,28,11,12,14,15,34
660_GRB10_2887,10,4,6,7,2,15
661_EDF1_8721,2,2,3,5,1,6
662_AUTS2_26053,28,11,12,16,13,38
663_ZFAND6_54469,10,3,3,2,3,15
664_AKT2_208,17,4,5,4,9,15
665_SLC2A4RG_56731,16,5,4,2,4,17
666_RRAGA_10670,5,1,1,1,1,2
667_RNF130_55819,4,5,2,5,1,7
668_EIF4A1_1973,6,1,3,4,3,9
669_IFT57_55081,13,3,3,7,4,17
67_VHL_7428,4,1,1,2,0,3
670_EID1_23741,7,4,1,1,2,7
671_C7orf55_154791,0,0,0,0,0,1
672_PTP4A1_7803,8,3,0,2,1,7
673_TMEM9B_56674,6,1,1,1,0,4
674_HIST1H2BL_8340,2,2,1,0,2,4
675_SOCS2_8835,4,1,1,4,2,5
676_EIF3A_8661,22,7,15,15,11,25
677_ZNF598_90850,22,9,7,7,9,25
678_TFF3_7033,2,0,0,0,1,2
679_SELS_55829,4,0,3,4,5,7
68_GNAS_2778,24,8,11,11,7,28
680_ZFP36L1_677,11,3,2,6,7,8
681_RPSA_3921,7,2,5,4,2,13
682_ARFGAP3_26286,18,7,9,7,9,20
683_MRPL3_11222,13,5,10,8,6,22
684_CRLS1_54675,5,0,2,0,0,4
685_ARIH2_10425,7,5,3,5,3,12
686_CLNS1A_1207,14,4,6,3,3,10
687_GTF2H5_404672,1,1,0,0,0,3
688_DEXI_28955,3,0,0,0,0,2
689_ROMO1_140823,0,0,0,1,0,0
69_HN1L_90861,2,0,0,2,2,6
690_ISCU_23479,6,1,1,1,4,8
691_SDF2L1_23753,0,1,1,0,3,2
692_ANAPC5_51433,14,3,3,6,4,17
693_ZMAT2_153527,9,8,5,6,3,13
694_GCN1L1_10985,32,8,11,14,11,32
696_ECI2_10455,19,6,8,8,7,28
697_N4BP2L2_10443,24,4,8,6,7,25
698_SF1_7536,21,6,10,12,8,24
699_RGPD5_84220,29,10,15,13,13,34
7_HDAC10_83933,6,1,5,1,2,10
70_RPL32_6161,3,1,1,0,1,3
700_CBX1_10951,8,2,1,2,7,9
701_ECI1_1632,6,3,2,0,3,7
702_ZNF395_55893,11,5,5,7,6,14
703_THEM5_284486,4,0,1,2,1,11
704_XRCC6_2547,15,6,9,3,4,16
705_TMEM14C_51522,1,0,0,2,1,2
706_CYHR1_50626,2,1,0,3,0,4
707_MORF4L1_10933,15,5,5,5,6,16
708_CYTH1_9267,14,6,6,3,7,17
709_NAMPT_10135,8,3,5,7,9,15
71_SERF2_10169,0,2,0,1,0,2
710_GPBP1_65056,17,9,10,10,10,24
711_ENY2_56943,4,2,4,4,3,6
712_HIST1H2AK_8330,4,1,2,0,0,2
713_SERBP1_26135,15,5,6,11,7,23
714_MYH9_4627,27,8,14,11,11,31
715_TMEM123_114908,15,4,2,4,7,14
716_GTF3C6_112495,10,3,1,3,5,5
717_REEP5_7905,4,2,0,4,1,4
718_HIST1H4C_8364,2,1,0,1,0,2
719_FAM156A_29057,9,3,3,1,7,15
720_SNRPC_6631,5,2,0,0,1,5
721_HADH_3033,11,6,6,7,6,16
722_NDUFAF3_25915,2,0,3,1,1,6
723_MRPS21_54460,0,1,0,1,0,1
724_CCT3_7203,12,4,1,2,5,8
725_GAA_2548,17,7,4,2,3,10
726_HIPK2_28996,23,6,12,9,8,21
727_JUN_3725,22,6,12,7,10,19
728_IFITM3_10410,1,0,0,2,1,3
729_HSPA8_3312,18,5,10,11,11,22
73_SORD_6652,6,6,3,3,1,10
730_ACAD9_28976,21,4,8,8,6,23
731_F5_2153,27,11,14,12,14,32
732_NUP62_23636,13,4,1,3,5,17
733_ZSCAN18_65982,12,2,4,6,4,13
734_MRPL51_51258,3,2,1,0,0,4
735_ATP6V1A_523,12,5,3,6,7,12
736_PMPCB_9512,11,4,4,8,4,10
737_DDX3X_1654,17,2,9,11,10,24
738_SPATS2L_26010,18,5,6,5,10,23
739_RGS10_6001,8,2,0,1,2,9
74_ZNF525_170958,1,0,1,1,0,0
740_PA2G4_5036,11,4,4,8,8,14
741_DDX5_1655,23,8,8,12,13,31
742_TSPAN3_10099,5,1,2,1,3,4
743_AK4_205,3,3,1,1,1,5
744_C21orf59_56683,5,1,2,3,1,5
745_DCXR_51181,7,0,0,2,1,0
746_S100A10_6281,4,2,3,2,0,10
747_TSPAN8_7103,4,0,1,0,1,4
748_C22orf28_51493,19,5,9,10,9,23
749_STEAP2_261729,11,5,4,3,5,9
75_RPS15A_6210,2,1,2,0,1,4
750_NACAP1_83955,6,2,3,3,4,8
751_TRAM1_23471,11,4,1,4,1,8
752_BCAP31_10134,6,5,3,4,2,10
