SEQ_ID,Castration-resistent_Met,Castration-resistent_nonMet,Met,Newly_diagnosed,Normal_male_controls,PSA-recurrent_nonMet
753_NDUFB3_4709,1,1,2,1,2,6
754_AZGP1_563,20,5,9,8,7,26
755_EHF_26298,7,1,3,5,5,5
756_RNF7_9616,3,0,1,3,1,1
757_BAG1_573,8,2,2,3,4,6
758_C12orf23_90488,5,2,0,1,1,3
759_PSMD4_5710,12,3,5,3,6,16
76_RPL30_6156,0,1,2,1,0,3
760_TALDO1_6888,10,2,6,3,7,17
761_MCM3_4172,24,6,12,8,8,25
762_EIF3K_27335,9,2,3,2,2,3
763_SRP14_6727,2,3,1,2,4,5
764_ATP5J2_9551,1,0,0,1,3,2
765_ANKRD36_375248,33,14,13,16,16,39
766_RPS4Y2_140032,14,5,4,2,5,13
767_DDX50_79009,19,8,9,7,6,25
768_NUCKS1_64710,7,2,2,2,5,5
769_PRDX6_9588,10,2,2,1,2,10
77_SP100_6672,23,7,11,9,9,17
770_ODC1_4953,11,1,5,2,3,9
771_HNRNPR_10236,24,7,8,10,7,25
772_MARS_4141,21,7,9,9,7,30
773_PHF8_23133,23,3,8,7,10,26
774_CHCHD8_51287,2,2,2,1,1,10
775_KIAA2013_90231,8,4,6,3,2,11
776_PLA2G16_11145,7,2,6,1,5,14
778_FAM120AOS_158293,3,1,0,1,0,4
779_POLR2L_5441,1,0,1,0,1,1
78_RPL11_6135,1,0,2,0,2,4
780_MTRNR2L6_100463482,0,0,0,0,0,1
781_ATP1A1_476,20,5,8,9,10,18
782_MRPL20_55052,5,1,1,0,1,2
783_RAMP1_10267,0,0,0,2,1,0
784_FBL_2091,27,10,13,13,15,42
785_KRT10_3858,30,9,10,12,14,34
786_SNRPD2_6633,2,2,0,0,1,2
787_ERRFI1_54206,16,4,10,9,10,23
788_IVNS1ABP_10625,15,7,3,5,6,21
789_NDUFA6_4700,4,3,0,5,1,3
790_STK24_8428,15,5,6,6,5,18
791_HIST1H2BF_8343,2,2,1,0,1,5
792_PDDC1_347862,3,1,1,1,2,1
793_GNB1_2782,7,1,3,4,4,9
794_BOLA3_388962,1,1,0,2,2,1
795_UQCRC2_7385,15,3,4,9,7,13
796_DVL1_1855,13,2,5,5,6,16
797_MARCH6_10299,12,4,9,4,5,12
799_MAPRE1_22919,11,0,4,5,4,6
8_PDZD7_79955,9,1,2,2,5,11
80_RPL27A_6157,4,0,3,1,0,2
800_FAM129A_116496,14,5,10,12,6,18
801_GRSF1_2926,6,5,4,7,2,14
802_CPE_1363,15,5,8,5,6,18
803_LDHA_3939,16,3,3,3,4,14
804_ANAPC16_119504,3,0,0,3,0,4
805_WSB2_55884,3,0,3,1,3,4
806_CSDE1_7812,20,6,7,7,6,21
807_SNRPG_6637,3,1,0,1,0,3
808_NEDD8_4738,2,0,0,2,3,5
809_PDS5A_23244,29,7,10,14,10,32
81_RPS8_6202,4,2,1,1,0,4
810_DDT_1652,1,0,0,0,1,2
811_H3F3C_440093,0,2,0,1,1,2
812_CLTA_1211,14,0,6,5,5,15
813_RPS29_6235,0,0,0,0,0,0
814_CASP9_842,5,4,4,5,8,12
815_C4orf3_401152,1,0,2,0,1,2
816_ZFAND5_7763,5,2,1,2,3,6
817_KRT19_3880,18,5,5,6,7,23
818_ILF3_3609,32,12,11,14,16,40
819_ZFP36_7538,6,1,3,1,3,5
82_RPL10_6134,8,2,5,2,3,6
820_MON1B_22879,8,2,2,3,3,9
821_RBM39_9584,9,4,5,9,5,11
822_RPS27L_51065,0,0,0,0,0,1
823_UBE2E3_10477,1,1,2,1,0,4
824_TCEAL8_90843,3,0,4,1,2,5
825_ENAH_55740,15,7,7,9,10,17
826_RSRC2_65117,1,0,0,0,0,3
827_PRR11_55771,3,2,1,1,1,5
828_HEBP1_50865,4,0,3,1,1,7
829_RABGGTB_5876,7,2,3,2,6,7
830_ZNF664_144348,3,1,0,3,2,5
831_CCT7_10574,12,1,7,7,2,13
832_RPL3_6122,8,4,5,1,6,12
833_ZMPSTE24_10269,4,4,2,2,2,6
834_SRSF4_6429,10,3,4,4,5,14
835_AFTPH_54812,25,9,11,15,10,29
836_TBRG1_84897,6,2,5,3,6,9
837_BBX_56987,23,6,5,10,6,20
838_GUSB_2990,19,2,5,6,6,20
839_IL13RA1_3597,29,9,9,12,14,33
84_SAT1_6303,6,0,1,0,1,3
840_HIST1H2AM_8336,4,1,2,0,0,2
841_ASNS_440,9,1,6,3,3,11
842_NEURL1B_54492,13,2,3,1,3,11
843_DDB1_1642,20,5,8,6,7,20
844_FNBP1L_54874,18,8,9,9,7,23
845_FAM127B_26071,1,2,0,0,2,2
846_PHPT1_29085,2,1,2,1,2,4
847_TMC5_79838,15,8,8,8,7,20
848_ITM2B_9445,7,2,4,5,2,7
849_BASP1_10409,12,4,5,3,10,12
85_RPL38_6169,4,1,1,2,0,5
850_IAH1_285148,5,1,1,3,3,11
852_RAI1_10743,32,10,14,15,14,37
853_NBR1_4077,14,5,7,6,7,19
854_SORL1_6653,26,12,9,12,13,29
855_PDCD4_27250,13,5,4,3,4,18
856_HES1_3280,12,3,3,5,6,20
857_RPL15_6138,0,0,0,0,0,2
858_LUC7L2_51631,2,0,0,0,0,1
859_KIAA1522_57648,24,7,6,10,8,28
86_MCL1_4170,26,9,7,16,11,30
861_PNN_5411,8,2,4,6,5,12
862_UBE2N_7334,2,0,0,0,1,2
863_C11orf83_790955,5,2,4,3,3,12
864_ATP5J_522,4,2,1,2,4,6
865_PSME1_5720,11,1,4,3,4,9
866_MYL12A_10627,10,4,5,3,2,10
867_KHDRBS1_10657,13,3,3,4,6,15
868_MPZL1_9019,5,1,2,2,2,6
869_COX7B_1349,4,0,4,1,3,4
87_NBEAL1_65065,6,2,0,1,2,4
870_CBX3_11335,4,2,0,4,2,8
871_SEC13_6396,5,1,1,5,4,5
872_RASD1_51655,11,5,5,1,5,14
873_SHROOM3_57619,33,8,14,13,15,38
874_C15orf24_56851,5,3,3,3,1,9
875_FNTA_2339,15,7,7,5,3,17
876_SON_6651,28,9,12,9,12,29
877_KCTD3_51133,12,6,6,8,6,20
878_FTL_2512,4,2,5,3,1,6
879_CREB3L4_148327,8,5,3,3,7,21
88_RPL22_6146,5,1,2,5,2,7
880_TMEM205_374882,0,1,0,0,1,4
881_PYCR1_5831,3,1,0,0,4,5
882_ARL8B_55207,6,1,5,1,2,6
883_UBE2C_11065,3,2,1,4,1,6
884_SAP18_10284,4,3,3,2,0,3
885_TBCD_6904,24,8,10,9,9,23
886_SUN1_23353,15,4,8,9,8,21
887_DNAJC10_54431,18,6,6,10,10,13
888_CKS1B_1163,5,0,0,0,2,5
889_CSNK1E_1454,14,6,6,6,8,18
89_PTMA_5757,4,1,4,2,1,6
890_RRAGC_64121,27,11,8,12,14,35
891_PTPLAD1_51495,7,1,2,3,3,9
892_PPIAL4A_164022,17,5,8,6,5,18
893_UPF1_5976,31,13,14,18,16,43
894_PPP1R16A_84988,9,1,1,6,1,12
895_LOC100170939_100170939,2,0,1,1,1,4
896_PTCD3_55037,17,7,7,11,7,22
897_HNRNPA1L2_144983,20,4,10,11,11,22
898_FAM36A_116228,1,1,0,3,1,0
899_RNF103_7844,12,6,5,7,4,13
9_RAX2_84839,6,0,1,1,1,9
90_TXNIP_10628,9,3,1,3,3,11
900_EIF4EBP2_1979,2,1,1,2,1,4
901_WAC_51322,31,10,11,10,12,33
902_LSS_4047,14,6,10,6,11,22
903_AHSA2_130872,16,3,6,9,3,19
904_FAM108C1_58489,8,2,4,4,5,16
905_MKL2_57496,32,10,11,15,14,32
906_GTF3A_2971,5,2,1,3,0,7
907_ACADVL_37,13,2,4,5,3,11
908_LOC152217_152217,2,0,1,1,0,3
909_RNF149_284996,10,4,2,0,2,10
91_PMEPA1_56937,4,0,3,4,4,1
910_KIAA1191_57179,9,5,3,5,3,14
911_SRI_6717,14,6,4,8,9,25
912_EIF2B1_1967,12,1,3,4,5,12
913_NONO_4841,7,1,8,6,9,16
914_TXNL4A_10907,12,1,1,4,1,10
915_SMS_6611,8,2,3,8,3,10
916_SUMO2_6613,0,0,3,1,0,4
917_VPS37C_55048,12,1,3,3,5,10
918_MT1G_4495,0,0,0,0,0,0
919_HADHB_3032,18,4,7,4,6,15
92_WDR45L_56270,6,1,2,2,1,5
920_KRTCAP3_200634,2,0,0,1,2,3
921_RANBP9_10048,21,3,9,9,6,26
922_CEP95_90799,21,9,6,10,12,29
923_MRPS6_64968,1,1,2,0,2,1
924_IRX3_79191,24,8,13,15,12,34
925_COX6B1_1340,0,0,2,1,3,1
926_VPS28_51160,7,1,4,1,4,4
927_FKBP9_11328,12,4,4,3,7,11
928_LOC653061_653061,14,5,6,6,7,16
929_SPARCL1_8404,14,4,5,6,5,12
93_PABPC3_5042,19,6,5,5,10,20
930_CEBPB_1051,14,3,2,5,7,15
931_SPTSSA_171546,1,0,0,0,0,1
932_ATP6V0B_533,3,0,0,1,1,3
933_VCP_7415,21,3,8,6,10,19
934_UBB_7314,2,1,2,1,0,2
935_HIPK3_10114,19,7,8,6,5,25
936_SESN3_143686,10,3,2,4,8,12
937_MYL6_4637,24,10,11,13,11,30
938_HMGN1_3150,4,1,0,1,0,9
939_RNF220_55182,12,2,1,4,7,12
94_SMN1_6606,5,2,0,3,3,9
940_LIMCH1_22998,21,5,9,8,5,35
941_PSMC1_5700,13,3,7,5,5,12
942_DNAJA1_3301,19,8,5,7,10,26
943_CALM1_801,9,4,6,8,5,15
944_TXNDC17_84817,5,2,1,1,3,6
945_ANKRA2_57763,12,1,1,2,1,6
946_NKTR_4820,26,9,13,10,11,31
947_HSD17B12_51144,13,1,4,4,6,12
948_IMMT_10989,15,3,5,10,7,23
949_DNAJB6_10049,24,8,10,12,12,33
95_AHNAK_79026,35,13,13,16,15,39
950_LOC100287195_100287195,4,3,0,2,0,9
951_ENTPD6_955,6,1,5,3,3,7
952_MYEOV2_150678,3,0,5,1,3,4
953_AP3S1_1176,5,1,4,4,7,7
954_FAM177A1_283635,6,3,7,2,1,9
955_TCEA1_6917,13,4,3,4,2,9
956_RBM14_10432,18,8,7,10,7,20
957_COPB2_9276,17,4,8,11,8,21
958_SAT2_112483,0,0,3,1,2,2
959_NCOR2_9612,33,11,14,15,16,40
96_ND1_4535,28,11,14,14,14,35
960_SEPT2_4735,12,4,2,6,4,13
961_GGA1_26088,21,8,10,11,7,25
962_INSIG1_3638,2,2,0,2,2,6
963_MUT_4594,30,9,14,12,10,32
964_C20orf24_55969,0,1,0,2,0,3
965_DAZAP1_26528,16,4,4,8,7,14
966_TARS_6897,20,7,11,10,12,22
967_FAM111A_63901,19,7,6,5,5,19
968_CXCR4_7852,3,2,1,3,1,5
969_C8orf4_56892,5,2,1,1,0,9
97_HINT1_3094,2,0,2,1,0,3
970_S100P_6286,8,1,0,6,5,11
971_RNH1_6050,7,1,5,2,3,13
972_AK2_204,4,1,4,3,3,9
973_TTC19_54902,4,2,4,3,4,5
974_EIF3L_51386,14,5,2,5,6,20
975_AGT_183,15,2,4,2,4,14
976_FOXP1_27086,24,5,7,8,10,27
977_SECISBP2_79048,18,4,8,8,9,18
978_CHERP_10523,19,3,6,3,9,23
979_RPS2_6187,3,4,2,4,4,11
98_TXN_7295,11,2,1,3,5,9
980_ZDHHC7_55625,2,2,0,1,0,3
981_HIST3H2A_92815,5,1,1,0,0,2
982_MRPL32_64983,4,0,0,1,1,6
983_PURB_5814,20,2,5,4,4,20
984_ATXN2L_11273,30,5,12,13,11,30
985_CALD1_800,26,8,9,10,12,33
986_IFI30_10437,7,0,2,3,1,5
987_DDX47_51202,9,6,5,4,4,13
988_FOLH1B_219595,11,3,1,6,5,12
989_HSD17B4_3295,17,3,7,9,6,19
99_RPS18_6222,4,2,1,1,3,4
990_AKAP9_10142,34,14,15,18,16,43
991_TSFM_10102,5,1,1,2,2,10
992_POLR2F_5435,3,1,3,1,4,1
993_CAMK2N1_55450,7,3,2,2,2,7
994_GAR1_54433,23,8,8,10,9,31
995_EED_8726,9,5,8,5,2,17
996_GPR56_9289,8,2,4,2,4,8
997_ZNF275_10838,13,4,4,5,4,9
998_SLC38A10_124565,28,9,13,13,13,36
999_MRP63_78988,2,0,0,1,1,0
ADT12,2,0,0,0,1,4
ADT14,22,9,12,14,12,35
ADT2,26,5,11,15,8,27
ADT20,14,4,5,5,5,12
ADT26,30,9,13,12,13,38
ADT28,4,1,2,4,0,4
ADT3,14,9,7,7,6,20
ADT5,3,1,0,1,0,2
ADT6,23,8,13,10,8,29
ADT9,24,6,8,14,12,24
ANO1_AS1_T062911_G014510_1_447_1019_573,4,0,2,0,1,6
ANO1_AS1_T062911_G014510_2_398_895_498,7,4,1,2,1,4
ANT_and_LNCRNA_REDUNDANT,13,0,3,4,4,12
BOLA3_AS1_T191973_G044207_1_1427_1822_396,0,0,0,1,2,2
CALML3_AS1.5_T036343_G008259_1_479_1162_684,3,2,1,1,1,6
CALML3_AS1.5_T036343_G008259_2_385_1059_675,2,1,0,1,1,3
CAT101.1_T018833_G004234_1_60_443_384,4,0,1,2,3,7
CAT101.1_T018833_G004234_2_3525_3788_264,0,1,0,2,0,1
CAT1111_T352722_G083290_1_456_1667_1212,5,1,0,0,0,5
CAT1111_T352722_G083290_2_589_1626_1038,2,0,0,1,0,2
CAT1144.1_T359193_G084753_1_929_1768_840,6,2,0,3,1,2
CAT1144.1_T359193_G084753_2_1180_1539_360,1,1,0,2,0,1
CAT1144.2_T359194_G084753_1_929_1768_840,6,2,0,3,1,2
CAT1144.2_T359194_G084753_2_1180_1539_360,1,1,0,2,0,1
CAT1367_T060449_G014057_1_30_1331_1302,11,2,6,7,5,11
CAT1367_T060449_G014057_2_532_807_276,8,2,3,6,2,14
CAT1378.2_T062242_G014366_1_2018_2641_624,2,0,3,0,0,3
CAT1378.2_T062242_G014366_2_321_602_282,4,1,0,3,1,4
CAT1449.1_T070828_G016390_1_238_720_483,2,2,1,2,0,4
CAT1449.1_T070828_G016390_2_401_652_252,3,0,0,0,1,2
CAT1452.1_T071276_G016478_1_93_788_696,6,1,1,1,1,5
CAT1452.1_T071276_G016478_2_2995_3228_234,0,1,0,0,0,0
CAT1454_T071522_G016513_1_1122_1892_771,4,1,1,5,4,5
CAT1454_T071522_G016513_2_208_708_501,1,2,1,2,2,1
CAT151.3_T027960_G006287_1_2942_3769_828,8,1,2,5,5,9
CAT151.3_T027960_G006287_2_15387_15731_345,2,4,0,2,2,5
CAT1571_T086563_G020094_1_281_976_696,5,1,3,4,3,8
CAT1571_T086563_G020094_2_2344_2601_258,0,0,0,0,0,0
CAT1651_T102861_G024234_1_1199_1891_693,1,0,1,1,1,2
CAT1651_T102861_G024234_2_3561_3842_282,0,0,0,1,0,1
CAT1686_T107057_G025268_1_5122_5934_813,4,1,0,2,5,8
CAT1686_T107057_G025268_2_4537_5037_501,1,2,0,1,0,1
CAT1852.2_T132489_G031083_1_3501_3875_375,0,1,0,0,0,0
CAT1852.2_T132489_G031083_2_524_799_276,0,0,0,0,0,0
CAT1881.1_T137363_G032189_1_2163_2987_825,0,1,1,2,3,5
CAT1881.1_T137363_G032189_2_3118_3387_270,4,2,0,2,3,6
CAT1917.2_T144453_G033626_1_2303_2959_657,6,0,2,2,0,3
CAT1917.2_T144453_G033626_2_1532_2110_579,9,3,5,1,1,7
CAT1941.1_T148927_G034563_1_3496_4026_531,7,2,3,1,3,5
CAT1941.1_T148927_G034563_2_4305_4745_441,0,1,1,0,1,2
CAT1942_T149369_G034642_1_6407_7270_864,3,3,3,3,1,4
CAT1942_T149369_G034642_2_6951_7271_321,1,0,0,0,0,2
CAT1968.2_T153055_G035480_1_1286_1960_675,1,0,0,0,0,1
CAT1968.2_T153055_G035480_2_2275_2736_462,4,1,2,3,5,5
CAT2217.1_T227650_G052508_1_19198_20361_1164,0,1,0,0,0,0
CAT2217.1_T227650_G052508_2_19310_20443_1134,0,0,0,0,0,0
CAT2217.3_T227648_G052508_1_18572_19735_1164,0,1,0,0,0,0
CAT2217.3_T227648_G052508_2_18684_19817_1134,0,0,0,0,0,0
CAT2217.4_T227647_G052508_1_13832_14995_1164,0,1,0,0,0,0
CAT2217.4_T227647_G052508_2_13944_15077_1134,0,0,0,0,0,0
CAT239_T189457_G043567_1_3047_3727_681,11,2,6,4,5,9
CAT239_T189457_G043567_2_1778_2185_408,1,0,2,2,1,1
CAT297_T196839_G045377_1_2510_3112_603,3,2,1,2,1,2
CAT297_T196839_G045377_2_1163_1555_393,2,1,2,2,1,3
CAT306.5_T198267_G045736_1_5067_5474_408,2,1,0,1,5,4
CAT306.5_T198267_G045736_2_4738_5097_360,0,1,2,1,0,0
CAT446.1_T250066_G057497_1_562_1254_693,2,2,3,2,0,4
CAT446.1_T250066_G057497_2_4427_4768_342,1,2,2,0,0,3
CAT505.1_T259126_G059652_1_37_678_642,15,4,5,6,8,21
CAT505.1_T259126_G059652_2_3064_3537_474,12,5,3,5,6,11
CAT505.2_T259129_G059652_1_31_672_642,15,4,5,6,8,21
CAT505.2_T259129_G059652_2_3044_3517_474,12,5,3,5,6,11
CAT583_T271074_G062826_1_2272_2871_600,5,1,2,0,2,3
CAT583_T271074_G062826_2_704_1135_432,1,0,0,0,1,3
CAT625.2_T275901_G064124_1_899_2041_1143,2,1,0,0,1,2
CAT625.2_T275901_G064124_2_2580_3158_579,3,0,1,0,1,3
CAT634.1_T277460_G064362_1_1422_2105_684,3,1,0,3,2,6
CAT634.1_T277460_G064362_2_111_689_579,6,1,1,3,0,7
CAT634.2_T277464_G064362_1_1098_1781_684,3,1,0,3,2,6
CAT634.2_T277464_G064362_2_3025_3492_468,4,4,2,4,5,9
CAT668.2_T283555_G066082_1_5822_6478_657,6,1,4,5,4,8
CAT668.2_T283555_G066082_2_6783_7376_594,3,0,0,0,2,2
CAT721_T289517_G067689_1_1083_1535_453,4,0,2,1,1,4
CAT721_T289517_G067689_2_860_1204_345,0,0,0,0,0,2
CAT86_T016624_G003715_1_534_1100_567,3,0,2,2,1,5
CAT86_T016624_G003715_2_1073_1276_204,3,1,2,2,0,2
CAT989_T334872_G078524_1_319_849_531,11,1,5,6,3,9
CAT989_T334872_G078524_2_50_364_315,1,1,0,0,2,3
CTA1,3,0,3,1,3,8
CTA10,1,1,1,1,2,7
CTA11,16,8,9,5,6,19
CTA12,3,0,0,2,2,4
CTA13,12,2,6,2,5,11
CTA14,0,2,1,3,1,2
CTA15,3,2,2,2,1,6
CTA16,2,2,2,1,3,4
CTA17,10,2,2,4,2,3
CTA18,14,4,5,8,5,12
CTA19,5,1,1,2,3,5
CTA2,17,5,10,9,8,18
CTA20,3,2,1,2,2,9
CTA21,11,1,2,6,7,13
CTA22,10,3,3,5,4,8
CTA23,8,3,7,4,2,12
CTA24,7,2,2,2,2,7
CTA25,7,0,0,0,3,3
CTA26,3,0,0,0,2,1
CTA27,6,3,4,6,4,8
CTA28,4,2,0,3,1,3
CTA3,12,4,4,3,3,11
CTA4,5,0,0,0,1,2
CTA5,7,4,4,4,4,9
CTA6,11,4,9,2,5,18
CTA7,4,2,2,3,1,7
CTA8,0,0,0,1,0,1
CTA9,13,4,5,3,1,8
FAM83H_AS1.1_T353730_G083462_1_965_1774_810,6,0,2,0,3,5
FAM83H_AS1.1_T353730_G083462_2_769_1248_480,6,1,2,2,0,4
FAM83H_AS1.5_T353728_G083462_1_2453_3277_825,5,1,1,5,4,13
FAM83H_AS1.5_T353728_G083462_2_5957_6766_810,6,0,2,0,3,5
FBXL19_AS1_T130509_G030577_1_4499_4918_420,4,4,1,4,3,9
FBXL19_AS1_T130509_G030577_2_595_960_366,2,0,1,3,2,7
FGD5_AS1.2_T238556_G054780_1_2671_2889_219,1,0,0,0,2,2
FGD5_AS1.2_T238556_G054780_2_2946_3134_189,0,0,0,0,0,2
LINC00086_T380530_G090147_1_2221_2550_330,1,1,2,1,3,2
LINC00086_T380530_G090147_2_1384_1710_327,3,1,1,1,0,1
LINC00087_T380486_G090134_1_1429_1728_300,4,1,2,2,0,1
LINC00087_T380486_G090134_2_2141_2407_267,0,1,2,0,2,0
LINC00675.1_T141810_G033025_1_309_497_189,0,0,0,0,0,1
LINC00675.1_T141810_G033025_2_188_358_171,1,0,1,2,0,2
LINC00675.4_T141809_G033025_1_1138_1524_387,2,1,0,2,1,3
LINC00675.4_T141809_G033025_2_421_750_330,1,0,1,0,1,3
MAFG_AS1.1_T156740_G036152_1_2503_3105_603,2,0,2,1,1,6
MAFG_AS1.1_T156740_G036152_2_116_637_522,5,1,0,2,4,1
MIR205HG.2_T029617_G006597_1_387_779_393,1,1,0,0,0,2
PCA10,15,3,4,6,7,16
PCA11,12,6,6,8,7,15
PCA13,31,12,11,16,15,38
PCA14,21,7,6,8,10,24
PCA19,11,4,6,1,6,17
PCA22,14,4,8,7,3,17
PCA27,9,7,7,5,5,16
PCA29,21,10,7,8,9,25
PCA6,25,10,10,11,15,29
PCA7,18,4,8,5,6,19
PCAT1_T351126_G082910_1_3108_3569_462,6,3,0,1,0,3
PCAT1_T351126_G082910_2_1371_1655_285,2,1,0,0,0,7
PRCA_REDUNDANT,31,11,15,12,16,38
PRCAT104.1_T230582_G053084_1_496_2364_1869,21,8,8,6,8,22
PRCAT104.1_T230582_G053084_2_4907_5623_717,8,2,4,1,3,7
PRCAT104.3_T230574_G053084_1_1598_3466_1869,21,8,8,6,8,22
PRCAT104.3_T230574_G053084_2_6009_6725_717,8,2,4,1,3,7
PRCAT104.4_T230577_G053084_1_1393_2109_717,8,2,4,1,3,7
PRCAT104.4_T230577_G053084_2_3913_4350_438,1,0,0,0,0,0
PRCAT104.5_T230585_G053084_1_588_2456_1869,21,8,8,6,8,22
PRCAT104.5_T230585_G053084_2_4999_5715_717,8,2,4,1,3,7
PRCAT104.7_T230583_G053084_1_519_2387_1869,21,8,8,6,8,22
PRCAT104.7_T230583_G053084_2_4930_5646_717,8,2,4,1,3,7
PRCAT105.1_T088591_G020554_1_2942_3247_306,0,1,0,0,0,1
PRCAT105.1_T088591_G020554_2_1954_2223_270,7,1,3,3,0,10
PRCAT11.3_T317393_G074313_1_1665_2435_771,2,2,1,0,2,7
PRCAT11.3_T317393_G074313_2_1181_1723_543,5,1,0,1,3,7
PRCAT116_T182782_G041985_1_685_1521_837,1,0,0,0,0,0
PRCAT116_T182782_G041985_2_2888_3328_441,2,1,0,0,0,3
PRCAT134_T229254_G052821_1_4848_5438_591,4,0,3,1,4,9
PRCAT134_T229254_G052821_2_1505_2056_552,2,0,2,2,1,5
PRCAT139_T035222_G008006_1_1922_2554_633,0,2,1,2,1,4
PRCAT139_T035222_G008006_2_2852_3289_438,5,4,1,1,0,6
PRCAT182_T137385_G032197_1_4841_5419_579,1,0,0,1,0,2
PRCAT182_T137385_G032197_2_5188_5577_390,2,0,3,0,0,1
PRCAT188.2_T382727_G090657_1_4263_4976_714,9,4,5,5,8,12
PRCAT188.2_T382727_G090657_2_1887_2474_588,12,2,3,3,5,17
PRCAT191_T211082_G048869_1_5688_6299_612,9,3,3,5,3,15
PRCAT191_T211082_G048869_2_6825_7370_546,1,1,0,0,2,2
PRCAT193_T143309_G033348_1_7398_8183_786,10,2,3,3,4,18
PRCAT193_T143309_G033348_2_5577_6215_639,1,0,2,2,1,2
PRCAT236_T273012_G063396_1_1305_2057_753,4,3,1,0,2,4
PRCAT236_T273012_G063396_2_1244_1561_318,1,0,0,0,0,0
PRCAT274_T052636_G012194_1_1430_2524_1095,5,1,2,2,2,8
PRCAT274_T052636_G012194_2_1581_1985_405,2,0,2,2,0,2
PRCAT28.1_T183157_G042036_1_3585_4718_1134,2,0,1,3,1,1
PRCAT28.1_T183157_G042036_2_4136_5131_996,2,1,3,0,1,5
PRCAT28.4_T183159_G042036_1_1382_2515_1134,2,0,1,3,1,1
PRCAT28.4_T183159_G042036_2_1933_2928_996,2,1,3,0,1,5
PRCAT297_T126437_G029520_1_1983_2522_540,0,0,0,0,0,0
PRCAT297_T126437_G029520_2_3734_4096_363,1,1,1,0,0,1
PRCAT3.1_T183162_G042038_1_6945_7547_603,2,2,0,0,1,1
PRCAT3.1_T183162_G042038_2_7615_8046_432,6,0,0,0,0,3
PRCAT41_T315818_G074087_1_5955_6662_708,10,0,1,2,3,4
PRCAT41_T315818_G074087_2_4464_4820_357,0,1,1,1,0,1
PRCAT67_T183175_G042042_1_16548_18869_2322,3,1,1,1,0,2
PRCAT67_T183175_G042042_2_16882_18090_1209,2,1,1,0,0,3
PRO10,5,2,1,5,1,7
PRO11,10,5,1,3,4,12
PRO14,35,15,14,17,17,43
PRO16,8,2,1,0,3,12
PRO18,25,5,13,14,10,30
PRO23,34,12,15,18,14,44
PRO25,17,4,9,7,9,24
PRO29,20,6,9,8,7,27
PRO3,15,2,6,8,4,17
PRO30,25,9,10,12,12,33
PRO31,12,5,4,4,4,18
PRO37,29,10,11,14,14,31
PRO38,17,3,9,12,7,20
PRO40,15,4,4,8,5,19
SPATA41_T123512_G029083_1_801_1718_918,3,0,0,2,2,3
SPATA41_T123512_G029083_2_2954_3229_276,2,1,2,3,2,2
